datetime,dollar,d_dollar,day_of_week,sin_month,cos_month
2012-10-26,31.2499,-0.053999999999998494,4,-1.0,-1.8369701987210297e-16
2012-10-27,31.478,0.2281000000000013,5,-1.0,-1.8369701987210297e-16
2012-10-28,31.478,0.0,6,-1.0,-1.8369701987210297e-16
2012-10-29,31.478,0.0,0,-1.0,-1.8369701987210297e-16
2012-10-30,31.4373,-0.04070000000000107,1,-1.0,-1.8369701987210297e-16
2012-10-31,31.5252,0.0879000000000012,2,-1.0,-1.8369701987210297e-16
2012-11-01,31.3743,-0.15090000000000003,3,-0.8660254037844386,0.5000000000000001
2012-11-02,31.3666,-0.007700000000003371,4,-0.8660254037844386,0.5000000000000001
2012-11-03,31.3817,0.015100000000000335,5,-0.8660254037844386,0.5000000000000001
2012-11-04,31.3817,0.0,6,-0.8660254037844386,0.5000000000000001
2012-11-05,31.3817,0.0,0,-0.8660254037844386,0.5000000000000001
2012-11-06,31.3817,0.0,1,-0.8660254037844386,0.5000000000000001
2012-11-07,31.5195,0.13780000000000214,2,-0.8660254037844386,0.5000000000000001
2012-11-08,31.3033,-0.21620000000000061,3,-0.8660254037844386,0.5000000000000001
2012-11-09,31.5146,0.21130000000000138,4,-0.8660254037844386,0.5000000000000001
2012-11-10,31.4962,-0.01839999999999975,5,-0.8660254037844386,0.5000000000000001
2012-11-11,31.4962,0.0,6,-0.8660254037844386,0.5000000000000001
2012-11-12,31.4962,0.0,0,-0.8660254037844386,0.5000000000000001
2012-11-13,31.6053,0.10909999999999798,1,-0.8660254037844386,0.5000000000000001
2012-11-14,31.7164,0.11110000000000042,2,-0.8660254037844386,0.5000000000000001
2012-11-15,31.7267,0.010300000000000864,3,-0.8660254037844386,0.5000000000000001
2012-11-16,31.6919,-0.03480000000000061,4,-0.8660254037844386,0.5000000000000001
2012-11-17,31.7184,0.026499999999998636,5,-0.8660254037844386,0.5000000000000001
2012-11-18,31.7184,0.0,6,-0.8660254037844386,0.5000000000000001
2012-11-19,31.7184,0.0,0,-0.8660254037844386,0.5000000000000001
2012-11-20,31.6677,-0.05069999999999908,1,-0.8660254037844386,0.5000000000000001
2012-11-21,31.4263,-0.24139999999999873,2,-0.8660254037844386,0.5000000000000001
2012-11-22,31.4218,-0.0045000000000001705,3,-0.8660254037844386,0.5000000000000001
2012-11-23,31.1525,-0.2693000000000012,4,-0.8660254037844386,0.5000000000000001
2012-11-24,31.1325,-0.019999999999999574,5,-0.8660254037844386,0.5000000000000001
2012-11-25,31.1325,0.0,6,-0.8660254037844386,0.5000000000000001
2012-11-26,31.1325,0.0,0,-0.8660254037844386,0.5000000000000001
2012-11-27,31.0201,-0.11240000000000094,1,-0.8660254037844386,0.5000000000000001
2012-11-28,30.941,-0.07910000000000039,2,-0.8660254037844386,0.5000000000000001
2012-11-29,31.1408,0.19979999999999976,3,-0.8660254037844386,0.5000000000000001
2012-11-30,31.0565,-0.08429999999999893,4,-0.8660254037844386,0.5000000000000001
2012-12-01,30.811,-0.24549999999999983,5,-0.5000000000000004,0.8660254037844384
2012-12-02,30.811,0.0,6,-0.5000000000000004,0.8660254037844384
2012-12-03,30.811,0.0,0,-0.5000000000000004,0.8660254037844384
2012-12-04,30.8365,0.025500000000000966,1,-0.5000000000000004,0.8660254037844384
2012-12-05,30.994,0.15749999999999886,2,-0.5000000000000004,0.8660254037844384
2012-12-06,30.8235,-0.17050000000000054,3,-0.5000000000000004,0.8660254037844384
2012-12-07,30.9107,0.08719999999999928,4,-0.5000000000000004,0.8660254037844384
2012-12-08,30.967,0.05630000000000024,5,-0.5000000000000004,0.8660254037844384
2012-12-09,30.967,0.0,6,-0.5000000000000004,0.8660254037844384
2012-12-10,30.967,0.0,0,-0.5000000000000004,0.8660254037844384
2012-12-11,30.8686,-0.09839999999999804,1,-0.5000000000000004,0.8660254037844384
2012-12-12,30.7506,-0.1180000000000021,2,-0.5000000000000004,0.8660254037844384
2012-12-13,30.7321,-0.018499999999999517,3,-0.5000000000000004,0.8660254037844384
2012-12-14,30.6034,-0.12869999999999848,4,-0.5000000000000004,0.8660254037844384
2012-12-15,30.6892,0.08579999999999899,5,-0.5000000000000004,0.8660254037844384
2012-12-16,30.6892,0.0,6,-0.5000000000000004,0.8660254037844384
2012-12-17,30.6892,0.0,0,-0.5000000000000004,0.8660254037844384
2012-12-18,30.7696,0.08040000000000092,1,-0.5000000000000004,0.8660254037844384
2012-12-19,30.9859,0.21630000000000038,2,-0.5000000000000004,0.8660254037844384
2012-12-20,30.7606,-0.22530000000000072,3,-0.5000000000000004,0.8660254037844384
2012-12-21,30.7592,-0.00140000000000029,4,-0.5000000000000004,0.8660254037844384
2012-12-22,30.7194,-0.03979999999999961,5,-0.5000000000000004,0.8660254037844384
2012-12-23,30.7194,0.0,6,-0.5000000000000004,0.8660254037844384
2012-12-24,30.7194,0.0,0,-0.5000000000000004,0.8660254037844384
2012-12-25,30.8046,0.08520000000000039,1,-0.5000000000000004,0.8660254037844384
2012-12-26,30.5926,-0.21199999999999974,2,-0.5000000000000004,0.8660254037844384
2012-12-27,30.615,0.022399999999997533,3,-0.5000000000000004,0.8660254037844384
2012-12-28,30.4808,-0.13419999999999987,4,-0.5000000000000004,0.8660254037844384
2012-12-29,30.3727,-0.10810000000000031,5,-0.5000000000000004,0.8660254037844384
2012-12-30,30.3727,0.0,6,-0.5000000000000004,0.8660254037844384
2012-12-31,30.3727,0.0,0,-0.5000000000000004,0.8660254037844384
2013-01-01,30.3727,0.0,1,0.0,1.0
2013-01-02,30.3727,0.0,2,0.0,1.0
2013-01-03,30.3727,0.0,3,0.0,1.0
2013-01-04,30.3727,0.0,4,0.0,1.0
2013-01-05,30.3727,0.0,5,0.0,1.0
